x,y,z
0.99932500,0.71279600,-0.30594000
1.01388000,0.73528700,-0.26147600
1.01799000,0.71892500,-0.26772600
0.93828900,0.75894900,-0.26524800
0.96164300,0.73323000,-0.30537600
0.93929100,0.76407200,-0.34397500
0.97966400,0.77742900,-0.32802200
0.99507900,0.71786000,-0.22843500
0.94085200,0.72095900,-0.30792900
0.93879300,0.70231000,-0.34859800
0.99608400,0.73037400,-0.28370600
0.93833400,0.71449700,-0.32756500
0.99650700,0.76891500,-0.32794900
1.01764000,0.71931200,-0.32798300
0.99437500,0.73336100,-0.22888400
1.01452000,0.71476300,-0.34372000
1.01207000,0.72956600,-0.32505900
0.97943800,0.69935400,-0.34644700
0.93953100,0.73262600,-0.28619700
0.94447600,0.73091800,-0.30675400
0.96020600,0.72050600,-0.29004400
0.97774700,0.77095200,-0.36729900
0.95240300,0.70353400,-0.35087800
0.99897400,0.73608000,-0.30856800
0.92225300,0.73680300,-0.28675800
0.99131600,0.73488200,-0.36457900
0.99642500,0.71275200,-0.32506500
0.97835500,0.71733800,-0.26743900
0.97786200,0.73548600,-0.28702400
0.91755600,0.73678800,-0.34638400
1.00318000,0.71768000,-0.34843700
0.99949300,0.71871500,-0.26794200
0.95568100,0.78817400,-0.36427800
0.99633100,0.77301600,-0.30472600
0.97949100,0.75592400,-0.24762600
0.99854400,0.77745800,-0.26801500
0.97894200,0.73176200,-0.26753200
0.95866600,0.71779600,-0.32848200
0.98353700,0.78250900,-0.28874800
1.00677000,0.70537100,-0.31329600
1.01594000,0.75337900,-0.24684300
1.01684000,0.75803100,-0.30833900
1.00023000,0.71770400,-0.24697700
0.98113500,0.76069100,-0.34717200
0.99949900,0.75968900,-0.30800400
0.97210700,0.80046800,-0.31959000
0.97807300,0.75685000,-0.26803100
0.96082300,0.77642100,-0.36789900
0.96094000,0.76084100,-0.34933300
1.03879000,0.71617400,-0.26575200
1.01367000,0.75485800,-0.26561900
0.92064200,0.73182500,-0.30706100
0.94465100,0.76238300,-0.31223400
0.97855600,0.73177800,-0.24629100
1.00350000,0.73721800,-0.32814900
1.01749000,0.76785900,-0.29794100
0.91839200,0.73602900,-0.32876000
0.98124500,0.71473900,-0.34506200
0.91925000,0.71633100,-0.34881400
1.01742000,0.76130600,-0.32461800
0.96087400,0.76171900,-0.30629300
1.00152000,0.75526900,-0.26750500
0.95931600,0.73276200,-0.32570500
0.97772200,0.79812300,-0.30723900
1.01851000,0.71998800,-0.24887800
0.98186400,0.71775400,-0.24772000
1.01781000,0.71687600,-0.28789300
0.95762100,0.73430700,-0.24636400
0.99672300,0.71828900,-0.28660800
1.01827000,0.71540400,-0.30607500
0.95864100,0.73211500,-0.26698500
0.93892500,0.73440500,-0.26596200
0.95885700,0.73325100,-0.28670500
0.97417200,0.73406800,-0.30392200
0.92505400,0.73838100,-0.26957400
0.99789500,0.73528000,-0.34861400
1.02073000,0.73606900,-0.24789000
0.99773200,0.73005300,-0.24532200
1.02228000,0.69978300,-0.30893400
0.97985200,0.72012200,-0.28807900
1.01973000,0.69773700,-0.32807000
0.95988300,0.72299300,-0.26953200
1.00163000,0.70304300,-0.32793000
0.98006100,0.71883200,-0.30734400
0.95945500,0.71862500,-0.30918600
1.00414000,0.69873500,-0.34743800
1.01807000,0.69805400,-0.34757000
0.97744800,0.71537300,-0.32574000
0.93998400,0.72506300,-0.28980700
0.92722300,0.72490000,-0.30741800
0.95356000,0.71880500,-0.34202000
0.92160700,0.72095200,-0.32938800
0.93936500,0.71373700,-0.34664900
1.00045000,0.69938200,-0.24816400
0.96598200,0.72464300,-0.24812400
0.98463100,0.70107100,-0.27079800
0.99466200,0.69844600,-0.26683100
0.98121300,0.69809300,-0.28844600
0.98985300,0.69051400,-0.28458600
0.97699800,0.69648200,-0.30695600
0.96702900,0.70102800,-0.30806100
0.95510400,0.70344400,-0.32827400
0.99903000,0.75821000,-0.24700900
1.00926000,0.69971700,-0.24015700
1.00575000,0.73228100,-0.26517200
0.96051900,0.76030800,-0.24668000
0.96125500,0.75805400,-0.26842100
0.96079400,0.76036800,-0.28617000
0.94141500,0.76210600,-0.28857400
0.93958600,0.73578400,-0.34813600
0.95218300,0.73130400,-0.34526500
0.93887400,0.76138600,-0.32810500
0.94319900,0.70319800,-0.33712800
0.93409500,0.73494100,-0.36365800
0.93401500,0.71975000,-0.36214000
0.97754400,0.75819900,-0.28961500
