x,y,z
-1.11712000,-1.22179000,-0.10481100
-1.06359000,-1.27565000,-0.07759930
-1.07851000,-1.16331000,-0.07266850
-1.16724000,-1.15235000,-0.04042990
-1.06146000,-1.22645000,-0.12592600
-1.02455000,-1.27425000,-0.04356760
-1.02317000,-1.19952000,-0.10190900
-1.07331000,-1.16206000,-0.08241180
-1.05889000,-1.24188000,-0.10721600
-1.06262000,-1.20557000,-0.10679000
-1.05901000,-1.24294000,-0.08639700
-1.04209000,-1.24096000,-0.12586300
-1.18598000,-1.23068000,0.03274110
-1.08053000,-1.22302000,-0.08595210
-1.00419000,-1.24648000,-0.12675200
-1.14167000,-1.18554000,-0.06781270
-0.99836400,-1.26061000,-0.12672900
-1.00725000,-1.22762000,-0.12609200
-1.04257000,-1.26544000,-0.06859080
-1.04294000,-1.26019000,-0.03296210
-1.16569000,-1.16710000,-0.06940660
-1.14113000,-1.22535000,0.03009530
-1.03998000,-1.27421000,-0.04769390
-1.13456000,-1.23394000,-0.06308590
-1.12003000,-1.24205000,-0.00746110
-1.15940000,-1.18554000,-0.08908170
-1.08298000,-1.22458000,-0.14579300
-1.15793000,-1.18335000,0.01135440
-1.11738000,-1.16239000,-0.12517400
-1.02202000,-1.26387000,-0.04969730
-1.13920000,-1.20655000,0.04641820
-1.00829000,-1.24580000,-0.10803200
-1.05879000,-1.27927000,-0.06778300
-1.13830000,-1.23992000,-0.04645370
-1.08222000,-1.24558000,-0.02844270
-1.03890000,-1.22425000,-0.06533240
-1.11976000,-1.22295000,-0.08672620
-1.15740000,-1.21945000,-0.04720500
-1.17689000,-1.18557000,-0.02834060
-1.16885000,-1.16200000,-0.01034900
-1.08290000,-1.22800000,-0.04910330
-1.14305000,-1.20414000,-0.08928800
-1.10005000,-1.22487000,-0.08848960
-1.02133000,-1.22142000,-0.10770900
-1.07521000,-1.20018000,-0.06408400
-1.14136000,-1.24211000,-0.00689241
-1.02168000,-1.20342000,-0.08739350
-1.13876000,-1.20488000,-0.04882930
-1.09342000,-1.27356000,-0.04353120
-1.06105000,-1.22478000,-0.08905860
-1.12333000,-1.18547000,-0.04958480
-1.16708000,-1.15895000,-0.03160170
-1.05932000,-1.22487000,-0.14771500
-1.07931000,-1.27487000,-0.06062530
-1.00058000,-1.26448000,-0.04869780
-1.08216000,-1.24262000,-0.08915990
-1.14135000,-1.26497000,-0.00701875
-1.10566000,-1.27636000,-0.01062070
-1.08231000,-1.25809000,-0.08563910
-1.10343000,-1.18721000,-0.08780650
-1.04285000,-1.22712000,-0.05147400
-1.11854000,-1.18300000,-0.13124400
-1.14622000,-1.20646000,0.01301130
-1.09933000,-1.20621000,-0.14480700
-1.08209000,-1.24484000,-0.04729570
-1.10621000,-1.16671000,-0.10775500
-1.12242000,-1.23008000,-0.00821685
-1.14117000,-1.22407000,-0.04630460
-1.05901000,-1.16394000,-0.04815530
-1.03163000,-1.25682000,-0.12096400
-1.07736000,-1.18510000,-0.08677150
-1.15945000,-1.20245000,0.01010020
-1.08486000,-1.26517000,-0.01260500
-1.04741000,-1.17034000,-0.05213900
-1.06035000,-1.16275000,-0.06671360
-1.03957000,-1.26201000,-0.08510940
-1.16290000,-1.20596000,-0.02682500
-1.17621000,-1.18284000,-0.01226080
-1.10162000,-1.24159000,-0.02766520
-1.06171000,-1.23924000,-0.12651900
-1.02069000,-1.22298000,-0.06866710
-1.10019000,-1.18301000,-0.12625000
-0.99924300,-1.24790000,-0.08560760
-1.14421000,-1.25438000,0.04597120
-1.08027000,-1.24273000,-0.06718970
-1.09711000,-1.22465000,-0.12847700
-1.13906000,-1.25823000,-0.02186520
-0.98517800,-1.27829000,-0.11073600
-1.01922000,-1.24322000,-0.14905900
-1.10114000,-1.20466000,-0.10755400
-1.12583000,-1.20475000,-0.03145570
-1.05730000,-1.14398000,-0.08916390
-1.04208000,-1.22011000,-0.12373700
-1.06367000,-1.24268000,-0.03301580
-1.10611000,-1.20694000,-0.04876280
-1.08573000,-1.23180000,-0.03554670
-1.16090000,-1.24395000,-0.00704382
-1.12076000,-1.26201000,-0.02639410
-1.02423000,-1.20707000,-0.07033290
-1.17667000,-1.19935000,-0.04447150
-1.02805000,-1.22614000,-0.05581800
-1.10109000,-1.26433000,-0.02749730
-1.17986000,-1.24209000,0.01310100
-1.15441000,-1.21954000,0.01298240
-1.04335000,-1.20913000,-0.12629400
-1.15643000,-1.20264000,0.02368390
-1.10283000,-1.24537000,0.00838188
-1.06071000,-1.27573000,-0.02745510
-1.05888000,-1.22770000,-0.04987830
-1.07736000,-1.26091000,-0.06563700
-1.06289000,-1.26629000,-0.02819330
-1.15942000,-1.22121000,-0.02877730
-1.02382000,-1.16673000,-0.07110410
-1.13965000,-1.22343000,-0.02658640
-1.09831000,-1.24089000,-0.08560250
-1.02488000,-1.18923000,-0.09406320
-1.11467000,-1.17491000,-0.14013500
-1.05935000,-1.20259000,-0.06837170
-1.08180000,-1.22479000,-0.10905500
-1.17265000,-1.19388000,-0.06027980
-1.15591000,-1.19975000,-0.08267140
-1.02007000,-1.24352000,-0.06668960
-1.08173000,-1.23828000,-0.13022600
-1.04217000,-1.20822000,-0.11087100
-1.08997000,-1.24852000,0.00368764
-1.03976000,-1.26028000,-0.10564300
-1.00339000,-1.26321000,-0.07017260
-0.99990700,-1.24473000,-0.06798990
-1.04603000,-1.22848000,-0.15192500
-0.98920300,-1.22407000,-0.08934660
-1.04737000,-1.27407000,-0.03314150
-1.07915000,-1.18096000,-0.06783520
-0.96477900,-1.24702000,-0.08387250
-1.13635000,-1.16926000,-0.04490840
-1.16159000,-1.24845000,0.01198990
-1.06176000,-1.24138000,-0.04626140
-1.01997000,-1.24407000,-0.10571400
-0.98255400,-1.26383000,-0.12817600
-1.12141000,-1.20214000,-0.12585200
-1.12002000,-1.22097000,-0.06606500
-1.13180000,-1.21938000,-0.09927110
-0.98234700,-1.26754000,-0.06918620
-1.17578000,-1.20200000,-0.02600420
-1.08065000,-1.22402000,-0.06730710
-1.04088000,-1.20178000,-0.05096310
-1.12126000,-1.22375000,-0.03009260
-1.01019000,-1.18940000,-0.10228000
-1.13991000,-1.18409000,-0.08545050
-1.00347000,-1.20688000,-0.09120930
-1.15913000,-1.20364000,-0.06703910
-1.12206000,-1.16669000,-0.09014640
-1.04724000,-1.14802000,-0.07064410
-1.17348000,-1.22508000,-0.00773212
-1.05420000,-1.16238000,-0.10181800
-1.04108000,-1.20477000,-0.06909920
-1.01969000,-1.25762000,-0.12961100
-1.12360000,-1.20628000,-0.06677680
-1.15899000,-1.21682000,0.03357000
-1.11901000,-1.23877000,-0.02647320
-1.06161000,-1.20534000,-0.08708650
-1.16506000,-1.18458000,-0.04747780
-1.15716000,-1.22205000,-0.00628095
-1.04656000,-1.18754000,-0.05148900
-1.08765000,-1.24996000,-0.00900415
-1.00307000,-1.24723000,-0.04972210
-0.98259000,-1.26664000,-0.08716620
-1.14330000,-1.20467000,-0.00699487
-1.09960000,-1.22345000,-0.06637930
-1.02569000,-1.17279000,-0.10856600
-1.09212000,-1.25517000,-0.08374100
-1.00070000,-1.26133000,-0.10633100
-1.04611000,-1.27761000,-0.07547280
-1.10100000,-1.16873000,-0.14305200
-1.04026000,-1.18426000,-0.08749840
-1.00140000,-1.26262000,-0.08837400
-1.08329000,-1.18685000,-0.12775100
-1.02095000,-1.26388000,-0.08719230
-1.15797000,-1.25766000,-0.00640537
-1.12134000,-1.24192000,0.01273010
-1.08123000,-1.19141000,-0.14781300
-1.10091000,-1.22287000,-0.14745500
-1.13753000,-1.21733000,-0.08543750
-1.05886000,-1.20631000,-0.04965190
-1.09904000,-1.20283000,-0.12703200
-1.04234000,-1.16409000,-0.08607420
-1.04207000,-1.24613000,-0.03321740
-1.08028000,-1.20074000,-0.10707000
-1.03920000,-1.17872000,-0.10184900
-1.05932000,-1.26235000,-0.06611950
-1.10188000,-1.18267000,-0.14454800
-1.10414000,-1.16369000,-0.12973500
-1.16169000,-1.18663000,-0.00600734
-1.12457000,-1.20096000,-0.10688300
