x,y,z
0.38781200,-1.04650000,-1.14705000
0.40985300,-1.13192000,-1.13526000
0.35011700,-1.07002000,-1.13150000
0.41059700,-1.17034000,-1.13464000
0.33271000,-1.15159000,-1.13569000
0.34863100,-1.21233000,-1.15253000
0.41044300,-1.18999000,-1.11688000
0.41116400,-1.03125000,-1.13436000
0.35000200,-1.15283000,-1.15402000
0.39056100,-1.09086000,-1.11008000
0.45110000,-1.10978000,-1.13372000
0.35116200,-1.15055000,-1.17527000
0.36978500,-1.13043000,-1.11586000
0.33017600,-1.17127000,-1.15280000
0.44766500,-1.05307000,-1.13380000
0.42975900,-1.03206000,-1.13666000
0.41049700,-1.17214000,-1.09643000
0.42975800,-1.07029000,-1.11570000
0.35127600,-1.15123000,-1.11468000
0.37199100,-1.12450000,-1.05973000
0.35240100,-1.10983000,-1.11725000
0.35254200,-1.09057000,-1.11620000
0.43363800,-1.13078000,-1.13373000
0.40928400,-1.11004000,-1.09816000
0.39235300,-1.01733000,-1.13987000
0.41031800,-1.13077000,-1.11403000
0.41170000,-1.11066000,-1.11027000
0.31666700,-1.05559000,-1.17338000
0.37124100,-1.17052000,-1.09605000
0.33437200,-1.13019000,-1.09928000
0.42917100,-1.13059000,-1.11507000
0.38932800,-1.19318000,-1.13512000
0.31465400,-1.15140000,-1.17334000
0.39339800,-1.05677000,-1.10147000
0.33224000,-1.01955000,-1.16301000
0.37180600,-1.19101000,-1.11591000
0.33428600,-1.05285000,-1.13611000
0.31620500,-1.09187000,-1.13763000
0.31737400,-1.07128000,-1.15571000
0.32986500,-1.15140000,-1.17341000
0.42922200,-1.05333000,-1.15120000
0.37050300,-1.11124000,-1.09554000
0.33100700,-1.15120000,-1.11555000
0.41126900,-1.01578000,-1.13979000
0.32986300,-1.13140000,-1.15306000
0.39113900,-1.15086000,-1.11516000
0.31644700,-1.05487000,-1.19511000
0.39058000,-1.17219000,-1.11581000
0.35402600,-1.01558000,-1.15605000
0.33276300,-1.17130000,-1.13645000
0.33495400,-1.01427000,-1.17345000
0.31714300,-1.16904000,-1.17222000
0.43189400,-1.07145000,-1.13321000
0.37296500,-1.15182000,-1.15583000
0.35670900,-1.14870000,-1.07507000
0.37390800,-1.01698000,-1.13980000
0.41090100,-1.09045000,-1.10948000
0.33360200,-1.21071000,-1.15505000
0.35232800,-1.01328000,-1.17410000
0.31771100,-1.06975000,-1.19262000
0.36905900,-1.04688000,-1.15029000
0.33034200,-1.15067000,-1.15291000
0.33283000,-1.11122000,-1.13640000
0.31502800,-1.08951000,-1.17597000
0.39075200,-1.07039000,-1.11366000
0.35161600,-1.17147000,-1.11482000
0.31657700,-1.07121000,-1.17316000
0.35175800,-1.21066000,-1.13421000
0.37104800,-1.15102000,-1.11628000
0.35150900,-1.13075000,-1.11696000
0.43047300,-1.15072000,-1.13346000
0.40720500,-1.12702000,-1.05780000
0.32839800,-1.08953000,-1.15145000
0.39117800,-1.01226000,-1.15598000
0.45056200,-1.06930000,-1.13121000
0.31566500,-1.12861000,-1.18934000
0.43159600,-1.04874000,-1.13013000
0.43111500,-1.09087000,-1.13319000
0.33183800,-1.05230000,-1.15521000
0.39058600,-1.19168000,-1.11619000
0.42783900,-1.05404000,-1.11853000
0.42979200,-1.09050000,-1.11320000
0.43078300,-1.11112000,-1.13560000
0.38303400,-1.02686000,-1.19953000
0.44598200,-1.13136000,-1.11727000
0.40997800,-1.15124000,-1.11536000
0.41084400,-1.05196000,-1.11732000
0.41057100,-1.07094000,-1.11297000
0.43011600,-1.11106000,-1.11492000
0.41073200,-1.17107000,-1.11609000
0.39100900,-1.05226000,-1.11663000
0.35162900,-1.05193000,-1.13485000
0.39071900,-1.03047000,-1.13399000
0.39026200,-1.11026000,-1.11029000
0.37177800,-1.17161000,-1.15582000
